Type,Age,Gender,Color1,Color2,Color3,MaturitySize,FurLength,Vaccinated,Dewormed,Sterilized,Health,Fee,Description,AdoptionSpeed,Images,Breed
Dog,24.0,Female,Brown,Cream,Unknown,Medium,Yes,No,Yes,Yes,Healthy,0.0,"Pretty Lady was an abandoned puppy, and has turned out to be a sweet dog who looks like an Australian Shepherd mix. She has a best friend (black mixed breed dog, female, spayed). Preferably, the two dogs should be adopted together as they love each other.",4.0,9c3f9ca37-1.jpg,Mixed_Breed
Dog,1.0,Female,Black,Brown,Unknown,Medium,No,No,No,No,Healthy,0.0,For Adoption,3.0,dcdefed1a-1.jpg,Mixed_Breed
Dog,2.0,Male,Black,Brown,White,Medium,Yes,No,No,No,Healthy,0.0,Panda is a male puppy of 2 months . He was found with another two siblings and his mother in an open car park . He is very friendly and adorable . He truly deserves a better home compare to living under the car everyday with no protection at all and unstable diet .,4.0,4909dc5af-1.jpg,Mixed_Breed
Dog,4.0,Female,Brown,White,Unknown,Medium,Yes,Yes,Yes,No,Healthy,0.0,"Magic Spell is a loving, active puppy with cute upright ears. She was found loitering at an apartment in Cheras. She has a collar on but no license, so we cant trace her owner. She is clever, playful and has been potty trained. Will only do her business when she goes for walks and doesn't mess up the house. Please give her a good home.",3.0,d30c88c64-4.jpg,Corgi
Dog,2.0,Male,Brown,Unknown,Unknown,Medium,Yes,No,No,No,Healthy,0.0,Browny seem to be the giver in the pack. Mild in temperament. This dog can be fun loving and easily trained Adoption is free; neutering is borne by adopter,2.0,31a2e04d7-1.jpg,Mixed_Breed
Dog,1.0,Female,Black,Brown,White,Small,No,No,No,No,Healthy,0.0,Sharpie is a fun-loving dog looking for a home. She is 3 weeks old and loves playing around. Kindly contact me if you are interested. :),1.0,f50d4f5bc-1.jpg,Siberian_Husky
Cat,2.0,Female,Brown,White,Unknown,Small,Yes,No,No,No,Healthy,0.0,Urgent! This cute brown tabby & white kitten for adoption. Suspected of being dumped at our apartments block for the past 2 weeks or so. About 1.5 - 2 months old No adoption fees. We are hoping that someone will take her in because she's still young and very tiny to survive on her own outside,2.0,b22e78544-1.jpg,Domestic_Short_Hair
Dog,4.0,Female,Golden,Unknown,Unknown,Large,No,Yes,Unknown,Unknown,Healthy,0.0,"A lovely 4 months old Female Golden Retriever found in Kajang area. She's currently being taking care by a kind Malay man behind a small lane of a shop. Due to not an ideal environment for a dog to grows up, he's looking for someone who can adopt her. Please give this lovely Yoyo a forever home. Her calm, cute and charming personalities will definitely makes her a perfect addition to your family! Noted: Yoyo will be vaccinated and groomed before handed to the new owner. If you interested in adopting Yoyo, please contact Wen Jing with mobile:, thanks!",2.0,784ec5ba3-1.jpg,Golden_Retriever
Dog,1.0,Female,Black,White,Unknown,Medium,Yes,Unknown,Unknown,No,Healthy,0.0,"Lovely puppy looking for a home sweet home. Commitment to spay is compulsory, If you are interested to adopt pls contact Rachel",3.0,241b90aaa-4.jpg,Coonhound
Dog,2.0,Female,Black,Brown,Unknown,Small,Yes,Yes,Yes,No,Healthy,0.0,"Joy used to have 6 siblings but sadly, 2 got ran over by cars so I am urgently trying to find them good homes. they're living under cars with the mother dog now. will you adopt her? Lester",1.0,3cc6c4102-3.jpg,Mixed_Breed
Cat,12.0,Female,Brown,White,Unknown,Medium,Yes,No,No,No,Healthy,0.0,"Hi Hope everybody can help Comot find a new home since Mommy need to transfer oversea soon. Once giving birth to 5 little kittens. Well trained. Loves to 'meow' loudly when greets us coming back from office. Give her 1-2 months to adapt to you, then you will find that she is a bless to you.",3.0,3183085f4-2.jpg,Domestic_Short_Hair
Dog,84.0,Male,Golden,Unknown,Unknown,Large,No,Unknown,Unknown,Unknown,Healthy,0.0,"Morphy is follow me for few years after owner dumped him at my place, is difficult for me to find the right owner that's why he is stick to me until now, he is very friendly dog, due to my house condition and my hubby got allergic to dog, we cannot keep him inside the house, we hope he can get nice home and a person can give him more love.",4.0,44a541574-2.jpg,Golden_Retriever
Cat,2.0,Female,Black,Unknown,Unknown,Small,No,No,Yes,No,Healthy,0.0,"Kucing ini di jumpai oleh seorang kawan di hadapan sebuah kedai runcit. Aku ambil dan tolong jagakan dia sementara ada tuan baru. Dari seekor anak kucing yang pendiam, lemah dan tidak aktif, beliau menjadi sebaliknya. Amat mesra dan mudah berkawan. Maklumlah aku ada lagi 9 kitten yang hampir sebaya dengannya dan mereka sangat 'playful'. Aku mencari tuan baru yang ada pengalaman menjaga kucing. Yang sayangkan haiwan dan ikhlas serta jujur menjaganya. Beliau amat comel. Boleh hubungi aku melalui emel. Terima kasih.",2.0,c6d39a0fa-4.jpg,Domestic_Medium_Hair
Dog,24.0,Male,Brown,Unknown,Unknown,Medium,No,Yes,Yes,Yes,Healthy,0.0,"""This dog is one of the dogs rescued from the Klang Pound in April just before D-day (when they are put to death). It has been rehabilitated and urgently needs a loving home as we have limited resources. It is unfortunate that due to the aggressiveness of the contracted dogcatchers, most of these beautiful dogs are not strays and previously had homes. Hence, most of them are sociable and loving. The Serving the voiceless, SAS Volunteer. P/s: Please contact Jackie by calling or texting her at, she's at grandma at emails. """,2.0,52f3d0bf9-1.jpg,Mixed_Breed
Cat,16.0,Male,Cream,White,Unknown,Medium,Yes,Yes,Yes,Yes,Healthy,100.0,"Brando is a mild and independent boy. He loves to 'chill' and gets along with fellow cats and people. He is looking for a loving home to take him in. The adopter is encouraged to contribute towards the vaccination and neutering fee, to support the continued rescuing effort of other dogs and cats.",4.0,cdab9b66a-1.jpg,Domestic_Short_Hair
Dog,3.0,Female,Brown,Unknown,Unknown,Medium,Yes,Unknown,Unknown,Unknown,Healthy,0.0,"was found under the car alone , quiet and snore a lil bit while sleeping",1.0,d4d6997e3-1.jpg,Mixed_Breed
Dog,1.0,Male,Brown,White,Unknown,Medium,No,No,No,No,Healthy,0.0,"Name: AS-Puppy-05 Age: 1 month Gender: Male Breed: Mixed/Mongrel For adoption, please contact April at.",2.0,0c4e78176-1.jpg,Mixed_Breed
Dog,84.0,Male,Brown,Cream,Unknown,Medium,No,Yes,Yes,Yes,Minor Injury,0.0,"According to the Vet, Coco (d dog) is 7 years old. He was abused by his previous owner by tying him up, day and night; providing very little food, water and shelter. When Coco's testicles became inflammed (not sure how that came about), Coco's prev.owner kicked him out of the house. Coco remained faithful and waited outside the prev.owner's house although with great pain. The prev.owner would then use a cane to whip him and use pesticides to spray onto his inflammed region. My friend saw and rescused the dog. My friend then approached me to foster Coco (to nurse him back to health). My hubby agreed with the condition that Coco to be adopted after he is well and fit as Hubby is not an animal lover. Coco has been with us for slightly over 1 month now. Not only has Coco recovered fully; I have neutered Coco as well as dewormed and vaccinated him. I would like to find a good, loving and nurturing home for Coco as I have promised my hubby earlier on. Coco is a protective but not agressive dog. He is a good family dog and esp loves children. He doesnt bark unncessarily. He is fun loving, active and loveable. Coco deserves a second chance and I know he is now ready to be love and love his new found family. I am not very familiar of his past but I do know that he is a very loyal dog to us.",4.0,9a770c49a-1.jpg,Golden_Retriever
Cat,5.0,Male,Black,White,Unknown,Large,No,No,Yes,No,Healthy,50.0,"Dad persian mix maine coon, Mum siammies mix maine coon. Rangka besar, diet ANF, StarPro, Blackwood. Senang dimandikan and tak takut pada hairdryer.Easy going ... Interested adopter please SMS or Calls, will not reply at this page due to limited access. **adoption fee as deposit, adopter need to vaccine TamTam, when done (with proof) fee will return back to adopter**",3.0,6314ae1c4-3.jpg,Maine_Coon
Cat,2.0,Female,Black,Yellow,White,Small,Yes,No,No,No,Healthy,0.0,"Suzy, a calico kitten was found in my condo compound. She is a lovely and cute kitten. She likes humans and is very sweet.  Suzy is looking for her forever home. Only for serious adopters. She must be spayed when she has reached the right age. If you're interested in adopting her, please call me Olivia at after 4.30 pm. Thanks. ..",2.0,8f13a2d89-10.jpg,Domestic_Short_Hair
Cat,4.0,Male,Black,White,Unknown,Medium,No,Yes,Yes,No,Healthy,0.0,"Has straight-long-bushy black with lightly white striped tail, strong, active and playful. Doesn't prefer to snuggle/sleep on sofa or bed. He prefers the cool tiled floor and only sharp his claws on the scratching post. You need not worry about your sofa being scratched by Funky. Completed 3X vaccination, dewormed and toilet-trained. A very well-behave cat indeed.",1.0,990eec1b0-3.jpg,Persian
Dog,2.0,Male,Black,Brown,Golden,Small,Yes,No,No,No,Healthy,150.0,Fees are collected for spaying the dog. Max boy is a strong pup.. He is very active and very alert. Mama is a small breed.,1.0,ae0076e01-2.jpg,Mixed_Breed
Dog,2.0,Male,Black,Brown,Unknown,Small,Yes,Yes,Yes,No,Healthy,0.0,"Lex is a playful and fun-loving puppy who enjoys chasing around the yard and barking at random objects that move curiously. According to the vet, Lex is a Miniature Pinscher mutt. Looking for kind-hearted adopters who can give Lex the puppy a good and warm home. :)",3.0,4dd8dd451-3.jpg,Mixed_Breed
Cat,3.0,Male,Yellow,White,Unknown,Medium,Yes,Unknown,Unknown,Unknown,Healthy,0.0,It was given birth by my pet cat in March.,2.0,e38690387-4.jpg,Tabby
Cat,2.0,Female,Brown,Golden,Gray,Medium,Yes,No,Yes,No,Healthy,0.0,"Found together with sibling Oprah. Serena is a very playful and fun-loving kitten, eats well and is very intelligent. Her tail is slightly bobbed. A very beautiful girl. Dijumpai bersama adik beradik beliau, Oprah. Serena sangat suka bermain dan periang, makan dengan berselera dan sangat cersik. Ekor nya sedikit kontot. Muka sangat cantik. Berminat boleh whatsapp",3.0,5ccf203a3-5.jpg,Domestic_Short_Hair
Cat,3.0,Male,Black,White,Unknown,Large,Unknown,No,Yes,No,Healthy,50.0,"3 weeks ago, my friend rescued 7 kittens at Shah Alam. 3 had mange, 1 was very weak and thin which I had the feeling he will not made it. It's true. 2 days later, he died. Four days later, another two died. In the end, only 4 survives. Now they are ready for adoption. Bender is an adorable guy. Rub his belly, he'll turns around, making a fur ball, just loving it. He's an attention seeker so he is loud when no one pays attention to him.",1.0,60f9fee55-3.jpg,Domestic_Long_Hair
Cat,12.0,Female,Cream,White,Unknown,Medium,Unknown,Yes,Yes,Yes,Healthy,0.0,"I am looking for a new loving family for my dear Mimie. If anyone is interested in looking after her for just a year, I would be happy... I adopted her a year ago from a family friend. I am going away on business and my family home is being renovated. It is with a heavy heart what is best for my dear furry friend. I would consider giving her away to any cat lover in the USJ/Subang Jaya area who can provide appropriate care and time for her. She has one green and one yellow eye.",2.0,8b94ae06d-1.jpg,Turkish_Angora
Dog,2.0,Female,Black,White,Unknown,Medium,Yes,No,No,No,Healthy,0.0,"Patches and her siblings were seen by the roadside on morning. The very same evening, she had found her way to the guardhouse near my area. Her two siblings were no where to be seen. Ever since, she has been staying at the guard house, although the guards would love to keep her, they are unable to do so due to religious reasons and thus have been asked to chase her away. I have talked to the guards to give her a week or two weeks so that I can find her a home. She's such a loving, smart and beautiful dog. She's so intelligent that she has potty trained herself and knows how to sit. I would take her in but I have two big dogs of my own already. pls don't hesitate to call me. TQ.",2.0,7e2ce5b3e-4.jpg,Mixed_Breed
Dog,2.0,Male,Black,Brown,Unknown,Medium,No,Yes,Yes,No,Healthy,0.0,"Chilli is an active boy who was rescued off the streets when his siblings were crushed to death in an accident. Chilli loves to be carried and snuggles up to you. He feels safe and comfortable in his rescuers arms If you wish to adopt Chilli, call us at to view first.",1.0,9ed8dd7a7-1.jpg,Mixed_Breed
Cat,9.0,Male,Cream,Unknown,Unknown,Medium,Unknown,Yes,Yes,Yes,Healthy,200.0,DaH,3.0,b79275092-3.jpg,Domestic_Long_Hair
Dog,6.0,Male,White,Unknown,Unknown,Medium,No,Yes,Yes,Yes,Healthy,0.0,"Start from a short story, 6months ago there is a stray dog gave birth 6 puppies infront of my friend house and we successfully allocated 4 puppies a new home but it still left 2 of them. This cute big white has grew up from puppy, in the meantime we keep on searching a new home for them. Recently, some of the neighbor complaint and get annoyed by this 2 stray dogs on the road, and we saw some of the kids throwing stone at them too. They are not deserve on the street. Most importantly, he is still very healthy and with very strong build and muscle. A very high social skill dog that trust on human, friendly and loyalty too. He is definitely a good guard dog. Please call or message me for more info.",4.0,590a78f0d-3.jpg,Mixed_Breed
Dog,2.0,Male,Black,Brown,Unknown,Medium,No,No,No,No,Healthy,0.0,For Adoption,2.0,28ec2de89-5.jpg,Mixed_Breed
Cat,2.0,Female,Black,Brown,White,Small,No,No,No,No,Healthy,0.0,"stray kitten living by the busy street near school. high risk of being hit by car. IF INTERESTED PLEASE EMAIL ME, DONT COMMENT ON PHOTO COZ I WONT GET ANY NOTIFICATION & CANT CONTACT U. THANX",2.0,fc32d375d-4.jpg,Calico
Dog,24.0,Female,Brown,Cream,Unknown,Medium,Yes,Unknown,Yes,Unknown,Healthy,0.0,Found abandoned by the roadside near a bus stop. Very friendly and lovable. Pls call Alice at.,1.0,6dbed5324-1.jpg,Basset_Hound
Dog,60.0,Male,Black,Brown,Unknown,Large,Yes,Yes,Yes,Yes,Healthy,350.0,"Tiger's owner is unable to take care of him anymore and would like to find him a good home. He has some basic obedience training, doesn't run out of gate. Good with people and ok with smaller size dogs but likes to disturb dogs that are his size, especially male. Adoption will be subjected to suitability and best environment. Please call if you can offer him a good home.",3.0,c9e2b26c4-1.jpg,Rottweiler
Dog,6.0,Male,Brown,Yellow,Unknown,Large,No,Yes,Yes,No,Healthy,0.0,"I'm going to UK soon, and unable to take care Hazel which is my puppy. He pure golden retriever, born Sept . Dewormed, vet, got MKA cert(but still waiting the process). Love you Hazel Nut.",1.0,645914c88-2.jpg,Golden_Retriever
Cat,6.0,Male,Golden,Unknown,Unknown,Medium,No,No,No,No,Healthy,0.0,"He is so healthy, adorable and cute. Too loveable to be thrown away. Quite a big size for his age becoz he follow his Siamese father. The most important think I'm litter trained and you can leave me in the house or outside the house I only do my job on the specific case with the sand inside.",2.0,33404ffe6-1.jpg,Siamese
Dog,2.0,Female,Black,White,Unknown,Medium,Yes,Unknown,Yes,Unknown,Healthy,0.0,This fluffy is very friendly and naughty too..black and white colour this puppy from klang selangor,2.0,4e7a22c99-1.jpg,Mixed_Breed
Dog,2.0,Female,Black,Brown,Unknown,Medium,Yes,No,Yes,No,Healthy,0.0,"2 months old female.. Adopters must vaccinate,spay and keep puppy indoors/fenced. Interested call/whatsap me at../ Address: One Petz 2-1-20 one square, Tingkat mahsuri 1, Bayan lepas, Penang.",2.0,29fd25bc8-1.jpg,Mixed_Breed
Cat,18.0,Female,Golden,White,Unknown,Small,Yes,Yes,Yes,Yes,Healthy,0.0,Tigerlily is a very friendly and sweet girl. She loves pats and cuddles. She has a healthy appetite and is litter trained. Eagerly awaiting a loving forever home.,2.0,6eab205e6-1.jpg,Domestic_Short_Hair
Dog,2.0,Male,Black,Brown,Unknown,Large,Yes,No,No,No,Healthy,0.0,"They were both found sniffing around for food along a sidewalk by a busy road in Putra Heights. I managed to grab one before it could run back for shelter in the tall grass underneath a huge heap of junk. I came back later to rescue the second one when it came out again to look for food. When I first brought them home, there was insects and ticks crawling all over their bodies. They were initially very scared and very timid and they were weak, thin, thirsty and hungry. Now, they've grown bigger, healthier and stronger. When they're not sleeping, they're running around, playing, eating and chewing on rawhide. They're lovable, curious and always happy. Both have always been together so when one isn't around, the other cries out loud. We hope that they will find a good home with caring owners.",3.0,71edb3344-5.jpg,Mixed_Breed
Dog,3.0,Female,Black,Unknown,Unknown,Medium,No,Yes,Yes,No,Healthy,0.0,Dog 4 Adoption,2.0,0be5af159-5.jpg,Mixed_Breed
Dog,24.0,Female,Black,Unknown,Unknown,Medium,No,Yes,Yes,Yes,Healthy,0.0,Dog 4 Adoption,4.0,fed799a78-5.jpg,Mixed_Breed
Dog,60.0,Male,Brown,Golden,Unknown,Medium,Yes,Yes,Yes,No,Healthy,0.0,"Abandoned by owner, rescued from pound. Very friendly and lovable.",1.0,9cbae8539-1.jpg,Mixed_Breed
Dog,4.0,Female,Brown,Unknown,Unknown,Medium,Yes,Yes,Yes,Yes,Healthy,0.0,"These puppies were rescued from factory area... their mother have been spayed already.. there were 18 pups.. now left 10 puppies all brown all female... If no one adopts them, they will grow up to live as a homeless factory area dog living on the streets and they could get caught by the town council sooner or later or get hit by heavy trucks They may not look as cute or pretty as they are now much bigger... but please spare a space in your heart and your home for one of this little ones so they dont have to live on the streets in the future and suffer the faith of a street dog.. tq.....",4.0,221331819-5.jpg,Mixed_Breed
Dog,2.0,Female,Brown,White,Unknown,Medium,Yes,No,Yes,No,Healthy,0.0,"Blondie has one big, cute brown spot on her back :D Adorably smart and playful! She and her 3 other siblings are looking for their forever home. Free delivery within klang valley. Do whatsapp or sms me only.",4.0,d7282183b-1.jpg,Mixed_Breed
Dog,24.0,Male,Black,Unknown,Unknown,Medium,No,Yes,Yes,No,Healthy,0.0,"Thank you Mr.Yeow and family for adopting Jefry. Although my family and I are sad that he is not part of our family anymore,we are happy that with God's grace, he has found a new cosy and loving HOME. Thank you again,will miss Jefry very much.",3.0,1b5fd0e44-1.jpg,English_Bulldog
Dog,5.0,Female,Black,Brown,Unknown,Small,Yes,Yes,Yes,No,Healthy,200.0,"Looking for new family that can spent more time with her. She is very active, healthy & playful. Listen to basic command such as sit, down & hand. 5kg dog food, toys, two dog bowls and a small dog bag carrier is included. Please contact if interested, ",1.0,cc261e309-2.jpg,Miniature_Pinscher
Cat,4.0,Female,Black,White,Unknown,Small,Unknown,No,No,Unknown,Healthy,250.0,kucing jenis ragdoll mix persian :) - betina - dah di ajar pkai toilet pasir - sgt aktif dan manja trlebih - pandai dengar kata. huhu. for more info bole terus WhatApp untuk lebih cepat atau mesej. :),2.0,9d76ed82f-2.jpg,Ragdoll
Dog,4.0,Male,Black,Brown,Unknown,Medium,Yes,No,No,No,Healthy,0.0,"Bubu was found near my car and i believe someone threw him away. :(, his very intelligent as he can open doors by himself, plays fetch and responds to command easily hence making it easier to train him. If you are looking for a pet dog, bubu will be suit you and your family.",2.0,3fccff52b-2.jpg,Mixed_Breed
Dog,84.0,Male,Black,Brown,White,Medium,No,Yes,Yes,Yes,Healthy,10.0,"Jay is not available currently, thank you. Jay is very loving dog. He loves treats and loves to be pat. His bark is loud that he makes a good guard dog.",2.0,e48598033-1.jpg,Saint_Bernard
Cat,6.0,Male,Golden,Unknown,Unknown,Medium,No,Unknown,Unknown,Unknown,Healthy,500.0,like to eat,0.0,175c5bce0-2.jpg,Persian
Dog,24.0,Female,Brown,Cream,Unknown,Small,No,Yes,Yes,Yes,Healthy,0.0,"We have taken care of Valentine since she was a pup. However, now we do not have to time to care for her as we travel very often. She is very healthy and intelligent.",1.0,623138a05-6.jpg,Cocker_Spaniel
Cat,3.0,Female,White,Unknown,Unknown,Small,No,No,Yes,No,Healthy,50.0,Snowie is female and so active & healty. Domestic cat (medium hair). Toilet train. Age 3 months. New adopter who is interested pls SMS me. You can collect Snowie at Shah Alam/Seri Kembangan. Call me - Mr. Aidy,0.0,aa1add776-3.jpg,Domestic_Medium_Hair
Cat,48.0,Female,Gray,White,Unknown,Medium,No,Yes,Yes,Yes,Healthy,0.0,"Maya is the queen in the house. She's beautiful, sweet and looks blur at times. When you hug her, it's like hugging a soft feathered cushion. Always ready for hugs and kisses, this lady indulges in tickling on her stomach and neck. She will lean over to ask for a kiss on her nose and seldom make any noise. Feeds only on dry kibbles. Easy maintenance. P/S: No cage confinement please, except in incidences of illness or injuries.",1.0,0cb5ad250-2.jpg,Domestic_Medium_Hair
Dog,6.0,Female,Black,Brown,Unknown,Medium,No,No,Yes,Yes,Healthy,200.0,"Rescued puppy no.1 from customer, currently staying in my premise, just spayed, plan to rehome/release. Jamie, Medium saiz, Female, 6 Months old. Adoption fee of RM will be collected to share on puppy's medical bill (spaying, boarding, deworming, de-tick, vaccination). The puppy will be with me until 5th Nov, if nobody to adopt until then, release back to her usual place. Benefits in neutering your pets, pls refer Pls call if interest, office hour tue-fri 9am-6.30pm, sat-sun 10am-4.30pm. Contact thru phone only!",2.0,dbe634a4c-1.jpg,German_Shepherd_Dog
Cat,3.0,Male,Yellow,White,Unknown,Medium,Yes,No,No,No,Healthy,0.0,Found this cutie at the Putrajaya Sentral car park Super adorable,2.0,69262e404-1.jpg,Domestic_Short_Hair
